offer_id,candidate_id,offer_date,offer_expiry,accepted,join_date,salary_band,date_inversion_flag
1,5,2023-09-25,2023-10-02,False,,Band 5,False
2,13,2023-11-17,2023-11-24,False,,Band 2,False
3,14,2023-12-02,2023-12-09,True,2024-01-17,Band 3,False
4,25,2024-02-02,2024-02-09,True,2024-03-12,Band 5,False
5,30,2023-10-07,2023-10-14,True,2023-10-25,Band 3,False
6,49,2023-12-19,2023-12-26,True,2024-01-24,Band 2,False
7,57,2023-07-04,2023-07-11,True,2023-08-01,Band 4,False
8,75,2024-07-31,2024-08-07,True,2024-08-19,Band 1,False
9,93,2024-03-19,2024-03-26,False,,Band 5,False
10,97,2023-04-25,2023-05-02,True,2023-05-16,Band 1,False
11,108,2023-10-28,2023-11-04,False,,Band 3,False
12,109,2023-09-02,2023-09-09,True,2023-10-04,Band 4,False
13,117,2023-03-24,2023-03-31,False,,Band 1,False
14,128,2023-12-22,2023-12-01,True,2023-11-24,Band 4,True
15,132,2023-12-11,2023-12-18,True,2023-12-30,Band 2,False
16,136,2023-05-27,2023-05-15,True,2023-05-08,Band 2,True
17,149,2023-11-23,2023-11-30,False,,Band 2,False
18,155,2023-10-08,2023-10-15,False,,Band 4,False
19,158,2023-03-14,2023-02-27,True,2023-02-20,Band 3,True
20,170,2023-05-29,2023-06-05,False,,Band 1,False
21,174,2023-05-15,2023-05-22,False,,Band 4,False
22,175,2024-01-14,2024-01-21,True,2024-03-14,Band 3,False
23,181,2024-05-22,2024-05-29,True,2024-06-07,Band 3,False
24,188,2024-03-11,2024-03-18,False,,Band 4,False
25,190,2023-09-23,2023-09-30,False,,Band 3,False
26,197,2023-06-04,2023-06-11,False,,Band 1,False
27,213,2023-08-19,2023-08-26,True,2023-09-23,Band 3,False
28,231,2024-06-07,2024-06-14,False,,Band 2,False
29,239,2024-01-05,2024-01-12,True,2024-01-28,Band 3,False
30,244,2023-10-26,2023-11-02,False,,Band 1,False
31,252,2023-05-01,2023-05-08,False,,Band 5,False
32,262,2023-03-05,2023-03-12,True,2023-04-08,Band 2,False
33,279,2023-04-10,2023-04-17,True,2023-05-05,Band 1,False
34,281,2024-03-02,2024-03-09,True,2024-04-11,Band 4,False
35,297,2024-08-07,2024-08-14,False,,Band 4,False
36,307,2024-04-28,2024-05-05,False,,Band 3,False
37,322,2023-10-22,2023-10-29,False,,Band 5,False
38,326,2024-02-02,2024-02-09,False,,Band 4,False
39,337,2023-03-09,2023-03-16,True,2023-04-09,Band 3,False
40,358,2023-09-09,2023-09-16,True,2023-09-28,Band 5,False
41,364,2023-09-07,2023-08-08,True,2023-08-01,Band 4,True
42,401,2023-03-31,2023-04-07,False,,Band 3,False
43,413,2023-05-21,2023-05-28,True,2023-06-23,Band 2,False
44,415,2023-09-19,2023-09-26,True,2023-10-20,Band 3,False
45,417,2023-10-30,2023-11-06,True,2023-12-09,Band 4,False
46,419,2024-04-02,2024-04-09,True,2024-04-23,Band 3,False
47,447,2024-05-22,2024-05-29,False,,Band 5,False
48,451,2024-03-16,2024-03-23,True,2024-04-15,Band 2,False
49,456,2023-02-06,2023-02-13,False,,Band 3,False
50,470,2024-04-04,2024-04-11,True,2024-04-23,Band 1,False
51,471,2024-05-17,2024-05-24,True,2024-06-12,Band 1,False
52,488,2023-04-24,2023-04-02,True,2023-03-26,Band 4,True
53,547,2024-02-19,2024-02-26,True,2024-03-25,Band 3,False
